terminal length 0
br-bre-cis-psa-sw01#sh mod csm 1 real

real                  server farm      weight  state          conns/hits
-------------------------------------------------------------------------
187.100.252.11:1645   PSA_RADIUS_1645  50      OPERATIONAL    18       
187.100.252.12:1645   PSA_RADIUS_1645  50      OPERATIONAL    14       
187.100.252.13:1645   PSA_RADIUS_1645  50      OUTOFSERVICE   0        
187.100.252.14:1645   PSA_RADIUS_1645  50      OPERATIONAL    11       
187.100.252.15:1645   PSA_RADIUS_1645  50      OPERATIONAL    12       
187.100.252.17:1645   PSA_RADIUS_1645  50      OPERATIONAL    16       
187.100.252.18:1645   PSA_RADIUS_1645  50      OPERATIONAL    16       
187.100.252.19:1645   PSA_RADIUS_1645  50      OPERATIONAL    16       
187.100.252.20:1645   PSA_RADIUS_1645  50      OUTOFSERVICE   0        
187.100.252.16:1645   PSA_RADIUS_1645  50      OPERATIONAL    19       
187.100.250.17:1645   PSA_RADIUS_1645  8       PROBE_FAILED   0        
187.100.252.11:1646   PSA_RADIUS_1646  50      OPERATIONAL    30       
187.100.252.12:1646   PSA_RADIUS_1646  50      OPERATIONAL    30       
187.100.252.13:1646   PSA_RADIUS_1646  50      OUTOFSERVICE   0        
187.100.252.14:1646   PSA_RADIUS_1646  50      OPERATIONAL    26       
187.100.252.15:1646   PSA_RADIUS_1646  50      OPERATIONAL    30       
187.100.252.17:1646   PSA_RADIUS_1646  50      OPERATIONAL    18       
187.100.252.18:1646   PSA_RADIUS_1646  50      OPERATIONAL    24       
187.100.252.19:1646   PSA_RADIUS_1646  50      OPERATIONAL    25       
187.100.252.20:1646   PSA_RADIUS_1646  50      OUTOFSERVICE   0        
187.100.252.16:1646   PSA_RADIUS_1646  50      OPERATIONAL    33       
187.100.250.17:1646   PSA_RADIUS_1646  8       OUTOFSERVICE   0        
187.100.252.11:1812   PSA_RADIUS_1812  50      OPERATIONAL    0        
187.100.252.12:1812   PSA_RADIUS_1812  50      OPERATIONAL    0        
187.100.252.13:1812   PSA_RADIUS_1812  50      OUTOFSERVICE   0        
187.100.252.14:1812   PSA_RADIUS_1812  50      OPERATIONAL    0        
187.100.252.15:1812   PSA_RADIUS_1812  50      OPERATIONAL    0        
187.100.252.17:1812   PSA_RADIUS_1812  50      OPERATIONAL    0        
187.100.252.18:1812   PSA_RADIUS_1812  50      OPERATIONAL    0        
187.100.252.19:1812   PSA_RADIUS_1812  50      OPERATIONAL    0        
187.100.252.20:1812   PSA_RADIUS_1812  50      OUTOFSERVICE   0        
187.100.252.16:1812   PSA_RADIUS_1812  50      OPERATIONAL    0        
187.100.250.17:1812   PSA_RADIUS_1812  8       OUTOFSERVICE   0        
187.100.252.11:1813   PSA_RADIUS_1813  50      OPERATIONAL    0        
187.100.252.12:1813   PSA_RADIUS_1813  50      OPERATIONAL    0        
187.100.252.13:1813   PSA_RADIUS_1813  50      OUTOFSERVICE   0        
187.100.252.14:1813   PSA_RADIUS_1813  50      OPERATIONAL    0        
187.100.252.15:1813   PSA_RADIUS_1813  50      OPERATIONAL    0        
187.100.252.17:1813   PSA_RADIUS_1813  50      OPERATIONAL    0        
187.100.252.18:1813   PSA_RADIUS_1813  50      OPERATIONAL    0        
187.100.252.19:1813   PSA_RADIUS_1813  50      OPERATIONAL    0        
187.100.252.20:1813   PSA_RADIUS_1813  50      OUTOFSERVICE   0        
187.100.252.16:1813   PSA_RADIUS_1813  50      OPERATIONAL    0        
187.100.250.17:1813   PSA_RADIUS_1813  8       OUTOFSERVICE   0        
br-bre-cis-psa-sw01#sh mod csm 2 real

real                  server farm      weight  state          conns/hits
-------------------------------------------------------------------------
187.100.252.42:8086   SESM_ISP8086     8       OPERATIONAL    19       
187.100.252.43:8086   SESM_ISP8086     8       OPERATIONAL    3        
187.100.252.44:8086   SESM_ISP8086     8       OUTOFSERVICE   0        
187.100.252.45:8086   SESM_ISP8086     8       OPERATIONAL    7        
187.100.252.46:8086   SESM_ISP8086     8       OPERATIONAL    18       
187.100.252.47:8086   SESM_ISP8086     8       OUTOFSERVICE   0        
187.100.252.48:8086   SESM_ISP8086     8       OUTOFSERVICE   0        
187.100.252.49:8086   SESM_ISP8086     8       OUTOFSERVICE   0        
187.100.252.50:8086   SESM_ISP8086     8       OUTOFSERVICE   0        
187.100.252.42:8083   SESM_IST8083     8       OPERATIONAL    0        
187.100.252.43:8083   SESM_IST8083     8       OPERATIONAL    0        
187.100.252.44:8083   SESM_IST8083     8       OUTOFSERVICE   0        
187.100.252.45:8083   SESM_IST8083     8       OPERATIONAL    0        
187.100.252.46:8083   SESM_IST8083     8       OPERATIONAL    0        
187.100.252.47:8083   SESM_IST8083     8       OUTOFSERVICE   0        
187.100.252.48:8083   SESM_IST8083     8       OUTOFSERVICE   0        
187.100.252.49:8083   SESM_IST8083     8       OUTOFSERVICE   0        
187.100.252.50:8083   SESM_IST8083     8       OUTOFSERVICE   0        
187.100.252.42:8084   SESM_WSP8084     8       OPERATIONAL    0        
187.100.252.43:8084   SESM_WSP8084     8       OPERATIONAL    0        
187.100.252.44:8084   SESM_WSP8084     8       OUTOFSERVICE   0        
187.100.252.45:8084   SESM_WSP8084     8       OPERATIONAL    0        
187.100.252.46:8084   SESM_WSP8084     8       OPERATIONAL    0        
187.100.252.47:8084   SESM_WSP8084     8       OUTOFSERVICE   0        
